year,island,month,Totalamount
2000,O'AHU,Jul,444112.06
2000,O'AHU,Aug,429434.32
2000,O'AHU,Sep,371554.95
2000,O'AHU,Oct,377307.14
2000,O'AHU,Nov,361412.55
2000,O'AHU,Dec,400357.34
2000,MAUI,Jan,157557.07
2000,MAUI,Feb,191187.88
2000,MAUI,Mar,207606.00
2000,MAUI,Apr,193048.63
2000,MAUI,May,181380.01
2000,MAUI,Jun,205354.58
2000,MAUI,Jul,209572.60
2000,MAUI,Aug,202531.63
2000,MAUI,Sep,170679.34
2000,MAUI,Oct,182715.94
2000,MAUI,Nov,169616.25
2000,MAUI,Dec,175002.70
2000,MOLOKA'I,Jan,4893.98
2000,MOLOKA'I,Feb,5734.77
2000,MOLOKA'I,Mar,5806.08
2000,MOLOKA'I,Apr,4860.93
2000,MOLOKA'I,May,4281.75
2000,MOLOKA'I,Jun,5434.42
2000,MOLOKA'I,Jul,5440.98
2000,MOLOKA'I,Aug,4829.01
2000,MOLOKA'I,Sep,4901.99
2000,MOLOKA'I,Oct,5631.63
2000,MOLOKA'I,Nov,4782.01
2000,MOLOKA'I,Dec,7961.21
2000,LĀNA'I,Jan,5708.87
2000,LĀNA'I,Feb,7917.73
2000,LĀNA'I,Mar,7973.70
2000,LĀNA'I,Apr,7273.35
2000,LĀNA'I,May,6692.90
2000,LĀNA'I,Jun,6619.93
2000,LĀNA'I,Jul,7677.52
2000,LĀNA'I,Aug,6500.53
2000,LĀNA'I,Sep,7380.06
2000,LĀNA'I,Oct,8787.54
2000,LĀNA'I,Nov,6246.44
2000,LĀNA'I,Dec,8884.03
2000,KAUA'I,Jan,75188.21
2000,KAUA'I,Feb,85256.12
2000,KAUA'I,Mar,93611.91
2000,KAUA'I,Apr,89957.55
2000,KAUA'I,May,91159.13
2000,KAUA'I,Jun,99137.85
2000,KAUA'I,Jul,105481.17
2000,KAUA'I,Aug,97226.82
2000,KAUA'I,Sep,86041.79
