country,year,pop,island,month,Totalamount
any,1996,1,O'AHU,Aug,455185.07
any,1996,1,O'AHU,Sep,391892.75
any,1996,1,O'AHU,Oct,382327.51
any,1996,1,O'AHU,Nov,372607.93
any,1996,1,O'AHU,Dec,416628.98
any,1996,1,MAUI CTY,Jan,191727.96
any,1996,1,MAUI CTY,Feb,208815.66
any,1996,1,MAUI CTY,Mar,203343.65
any,1996,1,MAUI CTY,Apr,184940.64
any,1996,1,MAUI CTY,May,179974.77
any,1996,1,MAUI CTY,Jun,193713.83
any,1996,1,MAUI CTY,Jul,237039.05
any,1996,1,MAUI CTY,Aug,215544.95
any,1996,1,MAUI CTY,Sep,170828.00
any,1996,1,MAUI CTY,Oct,171638.06
any,1996,1,MAUI CTY,Nov,179685.11
any,1996,1,MAUI CTY,Dec,181358.74
any,1996,1,MAUI,Jan,185330.71
any,1996,1,MAUI,Feb,202538.60
any,1996,1,MAUI,Mar,197882.77
any,1996,1,MAUI,Apr,180106.26
any,1996,1,MAUI,May,175470.12
any,1996,1,MAUI,Jun,189274.24
any,1996,1,MAUI,Jul,232662.05
any,1996,1,MAUI,Aug,211022.05
any,1996,1,MAUI,Sep,167483.54
any,1996,1,MAUI,Oct,167528.63
any,1996,1,MAUI,Nov,175177.14
any,1996,1,MAUI,Dec,175978.10
any,1996,1,MOLOKA'I,Jan,8874.00
any,1996,1,MOLOKA'I,Feb,7329.31
any,1996,1,MOLOKA'I,Mar,6744.63
any,1996,1,MOLOKA'I,Apr,5387.86
any,1996,1,MOLOKA'I,May,6416.85
any,1996,1,MOLOKA'I,Jun,6271.47
any,1996,1,MOLOKA'I,Jul,6351.85
any,1996,1,MOLOKA'I,Aug,5664.23
any,1996,1,MOLOKA'I,Sep,4913.81
any,1996,1,MOLOKA'I,Oct,6109.21
any,1996,1,MOLOKA'I,Nov,5558.04
any,1996,1,MOLOKA'I,Dec,7848.53
any,1996,1,LĀNA'I,Jan,9052.53
any,1996,1,LĀNA'I,Feb,9184.74
any,1996,1,LĀNA'I,Mar,7878.91
any,1996,1,LĀNA'I,Apr,7759.92
any,1996,1,LĀNA'I,May,7486.15
any,1996,1,LĀNA'I,Jun,8342.96
any,1996,1,LĀNA'I,Jul,6524.10
any,1996,1,LĀNA'I,Aug,8287.97
any,1996,1,LĀNA'I,Sep,6465.67
any,1996,1,LĀNA'I,Oct,8823.03
any,1996,1,LĀNA'I,Nov,6983.90
any,1996,1,LĀNA'I,Dec,7501.89
any,1996,1,KAUA'I,Jan,75984.79
any,1996,1,KAUA'I,Feb,73686.03
any,1996,1,KAUA'I,Mar,78704.94
any,1996,1,KAUA'I,Apr,75393.14
any,1996,1,KAUA'I,May,82837.73
